CORE_NO,permeability,porosity,perm_quality
6,1.19,0.108,fair
6,50.5,0.157,good
6,11.7,0.117,moderate
6,4.1,0.114,fair
6,1.31,0.093,fair
7,0.067,0.037,poor
7,0.043,0.029,poor
7,0.049,0.05,poor
7,1060,0.216,very good
7,2250,0.242,very good
7,0.768,0.166,poor
7,1.18,0.172,fair
7,24.1,0.211,moderate
7,1990,0.242,very good
7,957,0.226,very good
7,0.103,0.08,poor
7,0.09,0.063,poor
7,151,0.204,good
7,1.93,0.162,fair
7,0.293,0.12,poor
7,11.3,0.17,moderate
7,3.15,0.178,fair
7,37.7,0.212,moderate
7,6.68,0.182,fair
7,4.23,0.178,fair
7,42.1,0.211,moderate
7,1.64,0.158,fair
7,1.4,0.157,fair
7,0.647,0.129,poor
7,0.342,0.104,poor
7,8.48,0.114,fair
7,0.375,0.117,poor
7,0.452,0.117,poor
7,0.458,0.106,poor
7,26.8,0.175,moderate
7,8.14,0.154,fair
7,4980,0.289,very good
7,3460,0.207,very good
7,3600,0.209,very good
7,180,0.173,good
7,850,0.185,very good
